Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,71.6808,713.325,61.8701,71.2469,673.607,62.118,111.556,714.197,62.6344,111.498,673.252,62.3008
2,0,71.6932,713.384,61.8441,71.2126,673.606,62.1173,111.339,714.123,62.5504,111.463,673.253,62.2861
3,0,71.6219,713.342,61.8542,71.1828,673.549,62.1739,111.522,714.14,62.659,111.468,673.265,62.3057
4,0,71.6746,713.277,61.8601,71.1713,673.558,62.0986,111.549,714.131,62.6326,111.48,673.265,62.3116
5,0,71.6865,713.349,61.839,71.2006,673.586,62.181,111.318,714.14,62.5149,111.496,673.261,62.3123
6,0,71.7215,713.355,61.8352,71.2094,673.616,62.1287,111.324,714.068,62.5379,111.479,673.273,62.3042
7,0,71.6422,713.362,61.8759,71.2121,673.593,62.1254,111.33,714.129,62.5169,111.481,673.29,62.2969
8,0,71.6603,713.364,61.8424,71.2169,673.599,62.1284,111.334,714.038,62.5679,111.472,673.258,62.3066
9,0,71.7167,713.368,61.8357,71.2284,673.626,62.1293,111.56,714.155,62.6449,111.48,673.238,62.3015
10,0,71.6945,713.348,61.857,71.2127,673.642,62.1131,111.548,714.177,62.6249,111.493,673.261,62.2924
11,0,71.7146,713.364,61.8162,71.1894,673.586,62.1346,111.338,714.078,62.5523,111.494,673.291,62.2825
12,0,71.6995,713.407,61.8352,71.2039,673.579,62.1162,111.296,714.058,62.5509,111.496,673.243,62.2985
13,0,71.715,713.328,61.8559,71.2218,673.576,62.1641,111.31,714.073,62.5494,111.491,673.261,62.2862
14,0,71.681,713.342,61.8646,71.2177,673.587,62.1828,111.554,714.138,62.6472,111.484,673.289,62.285
15,0,71.7046,713.352,61.8298,71.2455,673.638,62.1174,111.307,714.066,62.5606,111.479,673.27,62.2961
16,0,71.6836,713.336,61.8457,71.196,673.574,62.1218,111.332,714.091,62.5708,111.498,673.285,62.2744
17,0,71.6568,713.317,61.8463,71.2404,673.588,62.1616,111.554,714.164,62.6453,111.462,673.258,62.2952
18,0,71.698,713.328,61.8484,71.1789,673.581,62.1339,111.574,714.18,62.6384,111.47,673.277,62.3073
19,0,71.6359,713.336,61.8891,71.1704,673.557,62.0984,111.313,714.093,62.5132,111.488,673.278,62.282
20,0,71.6757,713.342,61.8458,71.2247,673.608,62.1314,111.314,714.107,62.5287,111.5,673.279,62.2852
21,0,71.7305,713.324,61.8467,71.2193,673.593,62.1316,111.539,714.169,62.6128,111.471,673.241,62.302
22,0,71.6947,713.358,61.8507,71.2344,673.607,62.1375,111.549,714.147,62.6597,111.459,673.201,62.321
23,0,71.6458,713.407,61.855,71.2053,673.617,62.1558,111.552,714.166,62.6627,111.501,673.291,62.2905
24,0,71.6697,713.343,61.8537,71.1981,673.608,62.1559,111.32,714.089,62.542,111.478,673.286,62.292
25,0,71.6878,713.36,61.851,71.2591,673.614,62.1174,111.539,714.125,62.6476,111.487,673.302,62.2984
26,0,71.7185,713.348,61.83,71.2965,673.6,62.0576,111.336,714.044,62.5489,111.467,673.271,62.2977
27,0,71.6955,713.335,61.8411,71.2238,673.611,62.1204,111.551,714.172,62.6252,111.478,673.265,62.2854
28,0,71.6865,713.366,61.849,71.2362,673.615,62.1635,111.352,714.069,62.5461,111.49,673.251,62.2966
29,0,71.7058,713.331,61.8608,71.2173,673.604,62.1363,111.308,714.067,62.5615,111.482,673.286,62.2986
30,0,71.6833,713.346,61.859,71.2226,673.644,62.126,111.564,714.16,62.6509,111.491,673.245,62.3033
31,0,71.7126,713.372,61.8361,71.1927,673.594,62.1456,111.317,714.083,62.5316,111.5,673.272,62.2888
32,0,71.7268,713.354,61.8347,71.185,673.57,62.1156,111.545,714.195,62.6533,111.477,673.279,62.2946
33,0,71.6939,713.334,61.8553,71.229,673.611,62.1188,111.354,714.105,62.5343,111.479,673.268,62.2974
34,0,71.7095,713.281,61.8458,71.2061,673.578,62.1469,111.563,714.159,62.6553,111.487,673.277,62.2882
35,0,71.6974,713.345,61.8436,71.2311,673.611,62.1228,111.336,714.099,62.5586,111.475,673.254,62.3085
36,0,71.692,713.424,61.8293,71.2128,673.565,62.1683,111.55,714.177,62.6292,111.499,673.273,62.2887
37,0,71.7127,713.413,61.8216,71.2188,673.608,62.1291,111.549,714.174,62.6514,111.468,673.293,62.3082
38,0,71.6863,713.34,61.8493,71.2364,673.637,62.1043,111.534,714.134,62.6439,111.493,673.266,62.3041
39,0,71.7043,713.342,61.8478,71.2384,673.62,62.1214,111.562,714.15,62.6616,111.465,673.242,62.2999
40,0,71.6934,713.356,61.8433,71.229,673.602,62.1307,111.315,714.062,62.5606,111.46,673.251,62.2986
41,0,71.6801,713.323,61.8557,71.2099,673.579,62.1558,111.313,714.094,62.5586,111.473,673.253,62.2966
42,0,71.6983,713.36,61.8407,71.2482,673.638,62.1259,111.56,714.152,62.6422,111.478,673.242,62.2927
43,0,71.6853,713.348,61.8589,71.2866,673.63,62.0251,111.337,714.125,62.5341,111.461,673.228,62.3058
44,0,71.7094,713.378,61.8447,71.1956,673.633,62.1472,111.54,714.131,62.6401,111.479,673.237,62.3019
45,0,71.7124,713.383,61.8293,71.2434,673.628,62.126,111.556,714.125,62.6615,111.459,673.255,62.3151
46,0,71.7112,713.394,61.8268,71.225,673.582,62.1328,111.313,714.126,62.5513,111.48,673.29,62.2852
47,0,71.7012,713.402,61.8328,71.2045,673.586,62.1316,111.549,714.116,62.6644,111.499,673.306,62.3007
48,0,71.6517,713.346,61.8615,71.2829,673.617,62.0452,111.557,714.097,62.6654,111.482,673.268,62.3044
49,0,71.7109,713.4,61.8455,71.2502,673.615,62.1175,111.54,714.14,62.6471,111.476,673.224,62.3072
50,0,71.6908,713.384,61.8329,71.2029,673.596,62.1336,111.317,714.118,62.5467,111.48,673.284,62.2927
51,0,71.7101,713.344,61.852,71.2333,673.655,62.0869,111.313,714.087,62.5727,111.48,673.247,62.2973
52,0,71.703,713.329,61.8508,71.132,673.593,62.1112,111.321,714.093,62.5434,111.481,673.26,62.3068
53,0,71.6833,713.338,61.8573,71.1886,673.592,62.1508,111.554,714.139,62.6459,111.485,673.279,62.2808
54,0,71.6974,713.366,61.8311,71.2045,673.593,62.1535,111.335,714.088,62.5589,111.453,673.223,62.3188
55,0,71.6904,713.339,61.8451,71.2129,673.608,62.117,111.37,714.09,62.5692,111.475,673.218,62.3104
56,0,71.6785,713.357,61.8536,71.2267,673.597,62.1339,111.533,714.129,62.6511,111.454,673.189,62.3376
57,0,71.6857,713.314,61.8636,71.1853,673.619,62.1186,111.321,714.095,62.5242,111.48,673.231,62.2991
58,0,71.7069,713.342,61.86,71.2412,673.621,62.1141,111.52,714.118,62.651,111.49,673.277,62.2938
59,0,71.7123,713.337,61.8423,71.2179,673.6,62.133,111.567,714.126,62.6291,111.468,673.246,62.2991
60,0,71.6847,713.388,61.8208,71.1987,673.568,62.1423,111.547,714.116,62.6564,111.474,673.225,62.3001
61,0,71.7619,713.381,61.813,71.3563,673.612,62.1017,111.34,714.057,62.5776,111.475,673.223,62.3134
62,0,71.716,713.365,61.8558,71.2349,673.604,62.1535,111.299,714.057,62.5726,111.482,673.286,62.2808
63,0,71.6852,713.356,61.8495,71.1509,673.557,62.1485,111.528,714.153,62.6361,111.463,673.26,62.3069
64,0,71.6819,713.316,61.8407,71.2432,673.636,62.112,111.35,714.131,62.5546,111.475,673.274,62.3038
65,0,71.653,713.305,61.8729,71.2641,673.624,62.1115,111.539,714.133,62.6387,111.475,673.279,62.3071
66,0,71.6879,713.342,61.8517,71.1943,673.572,62.1314,111.548,714.139,62.663,111.486,673.253,62.3143
67,0,71.7103,713.389,61.8437,71.1808,673.631,62.1066,111.53,714.135,62.6291,111.497,673.308,62.2791
68,0,71.6402,713.365,61.8542,71.208,673.63,62.1165,111.37,714.137,62.5327,111.459,673.214,62.339
69,0,71.7108,713.315,61.8471,71.2227,673.616,62.1181,111.31,714.04,62.5722,111.471,673.241,62.3092
70,0,71.726,713.351,61.8287,71.2478,673.609,62.1373,111.522,714.08,62.6681,111.465,673.244,62.3116
71,0,71.6986,713.366,61.8447,71.2188,673.572,62.1504,111.337,714.125,62.5371,111.487,673.25,62.3097
72,0,71.6827,713.357,61.855,71.2376,673.681,62.1032,111.308,714.13,62.5288,111.492,673.265,62.3032
73,0,71.6834,713.337,61.8612,71.1996,673.604,62.1105,111.522,714.148,62.6371,111.477,673.244,62.3166
74,0,71.6847,713.359,61.8567,71.2194,673.586,62.169,111.328,714.062,62.5785,111.477,673.271,62.3114
75,0,71.7098,713.353,61.8661,71.2588,673.609,62.1471,111.535,714.149,62.6334,111.495,673.265,62.298
76,0,71.6255,713.33,61.8562,71.2275,673.6,62.1321,111.331,714.039,62.5697,111.488,673.302,62.2798
77,0,71.6777,713.38,61.8465,71.2167,673.585,62.1692,111.535,714.154,62.6545,111.474,673.26,62.2935
78,0,71.6083,713.332,61.8864,71.1853,673.552,62.152,111.534,714.144,62.6329,111.477,673.239,62.3128
79,0,71.6686,713.408,61.8515,71.2347,673.57,62.1661,111.333,714.063,62.5539,111.486,673.248,62.3167
80,0,71.6531,713.394,61.8532,71.2009,673.588,62.1424,111.555,714.153,62.6195,111.488,673.251,62.3096
81,0,71.7372,713.375,61.8279,71.1736,673.565,62.1474,111.321,714.121,62.5487,111.471,673.263,62.2953
82,0,71.6972,713.369,61.8426,71.2201,673.609,62.1157,111.323,714.134,62.5564,111.468,673.242,62.3132
83,0,71.6744,713.323,61.8449,71.233,673.632,62.1096,111.553,714.159,62.6237,111.469,673.236,62.3105
